106103;A28XEJO7RBWRVR; 
37949;A2K7GNL43LBE7A;Littleton, CO United States
73208;AK4GZWJCTTQ05;MAUI
349215;AZG5T8FPJNZKX;Nowhere Zen, New Jersey
104487;A7V6QHVUG0RBC;SAN DIEGO, CALIFORNIA USA
18853;A2PZ0CMAL75SQM;Barrington, IL United States
43173;A3GR0U0WHMGMJE;San Jose, CA USA
66;A14OJS0VWMOSWO;Oregon, WI USA
20262;A1JF8PSY0NPSYY;Indianapolis, IN United States
13926;A2Y59UIT8C78E;Alexandria VA
46920;A2PQTQ523I11K3;Scottsdale Az
48203;A18X5ULE1PWJNO;Carmel Valley, CA
6113;A1LVZSB44JVZ44;NYC
55062;A3A06ZU6QI9KIL;Spanish Town, Jamaica
90494;A13KXWTN0DT878;Sc, Usa
176965;A3ER2YESZE79WS;Toronto, Canada
147164;AI13XNCQ61R04;Ballinger, TX United States
84854;A16HFG9SK4EJOT;Knoxville, TN
53970;AND9MKS0TS5BO;NY United States
129451;A36V4LL8O34VQX; 
129907;A25P6DY6ARTCGZ; 
12066;A1XEEDWWWM1KMT; 
12567;A633NIAR4JJAR;Potter, Wi USA
174447;ATRYKR4C51VUJ;Texas
84738;ACJQVWGHRRLHJ;Denver area
382158;A2TL7HUX0O66KN;Maui, Hawaii
79316;A209SHOF8Q626S; 
116437;A11JU33HMT5XPU;Milwaukee, WI
28201;A3OHF2LPEF8L0N; 
183631;AHCUFJHJAD6HP;Indiana
215057;A3S1N6O1HAURLJ;USA
67888;A63QYKW0UBS5B;Edison, NJ United States
98450;A2IWQHVPEMY6UR;Washington, DC
110646;A3NURXG7IR8FSN;FRANKLIN, TN. USA
407339;A1P6NRWDD1NT4B;Gilroy, CA United States
72256;A3FQ2NL742ULUW;Edmonds, WA
170361;AJPHPUXVV98XR;Springfield, VA USA
25796;A1RELHHVOS0FGL;Monson, MA
11419;A58E8BPCCP4NO;San Diego, CA United States
143889;AC9XM7N4ILZQ;Holon, Israel
42406;A1EKHS2I77AM54;Maple Glen, PA USA
34381;A1QUOX5T4KERWB;Vic, Australia
99083;AVEEOZY8XMRJN;the south
53533;A3ZUOI8XJCUJH;DeLand, FL United States
23165;A2YAKUOUYQNZR7; 
151409;A1FQBWLVFZK2KZ; 
57821;AWKGZV9I5ZYJ9;Baltimore, MD
74547;A20JK8DT702CWE;San Antonio, TX United States
17622;A2IUWN3B2GDS79;Greensboro, NC United States
42884;AD0FOYVI4UZVP;Leon, gto. Mexico.
77296;A1Q35LSACN9UKE; 
338202;A3Q1J68QY1MZQ9;Omaha, NE
112903;A2E1UPR4LZJSF2;The Land of Oz
91310;A2PSQUSTY0YAR6; 
250517;A2H3WLOJ8JEMNI;Houston, TX USA
32967;AYOPOFV2QKC31;Selsingen, Lower Saxony
64161;A36EOYJ1KP57P9;Sacramento, CA United States
85380;A1TDDM47OJQ3KL;Citrus Capital of the World, CA USA
166781;AHJ8GF73Z6BZD;Grovers Corners, PA USA
7879;A27VTXX08JRVQ9;Palo Alto, CA USA
225751;A2FEQVW3JMDJZD;New York, NY USA
84748;A2W7GZDXE1OC9O; 
164537;A3VVX4OW8YARI3;Algona, IA
40448;A3DARCASY3QSUW;Wilmington, DE USA
10855;A1XJ620N29D5CF;Washington, D.C. area
48992;A1EVKGF2TNSI4;Fort Collins
156701;A1G0RWUE33DTF; 
148563;AUDZ1P5FHLRKG; 
60705;A2LUOIX4PCCS2Y;California
104513;A12HMUGRPLIKNJ;Anchor Point, AK United States
13969;AYQY3RB33F4J6;Brisbane, Queensland Australia
1630;A2TGFURT008O0A; 
104490;AIDDX0PRQA3ZY;Melbourne, Australia
5094;A270O2KFBD8K6W;YONKERS, NEW YORK United States
240079;A3JJYTVBSP7YXR;Web editor in Ferndale, MI USA
12272;A3HMWAHKTOVITE;san francisco
13046;A3L9ITICJRQWT9;South Miami Beach, Florida
41349;A2NLFHGEOH4GD8;Medford, NY USA
113058;A34VFIXBPUCAWM;USA
44945;A2NY5N5LMA20H1;USA
17378;A1JCRQWR3Z6OME;Afton, Tn
58047;A238LQE629J4NV;Richmond, VA United States
413277;A1FHUYGO3OWWRF;Planet Earth
47942;AZHQOCOLIZAAM;Bristol, England
58154;A3C2ED485O47L;San Francisco
312821;AQFE4WTGEQI0M;Seattle, WA
1436;A2INHF7AW6CPXU;Atlanta, GA
14722;A2Y1PCZ8MBRI5A;Feminacentric America
427;A30851RPTL4ORK; 
96571;A2JMU71JFTQ12I;Philadelphia
76170;AM836D28P0EEU;Brooklyn, NY USA
59368;A3A1WJ2INB5J6R; 
86502;A2I1BZGK92F7JY;Gloucester City, NJ United States
153584;AIBEB9CLD8E2U; 
44187;AJX0Q5B0QEP57;S.Pasadena, Ca.
7564;A3ODGAW5Z2EJ1M;Greenville, NC
256139;AP4LLW1TV98SG;California
89009;A2Q8WRJ6TOM2EI; 
265888;ACDZDAW1ZJ304;London, England
37922;A2HG40OW4FLMBZ; 
6420;A2WF3V7YVVZIX6;Seattle, WA
77327;A445EAYIFVS8Y;ghjg
191588;AMOOD7BSBIBXY;El Dorado Hills, CA United States
201685;A32RX109J2TRYG;Miami, FL
15875;A2GHBIIGL5KYZG;the United States
35079;A31CWVNVR0IL9A;Cincinnati, OH USA
247068;A110LZFBUFYWN7;Fresno, California, United States
57190;ATKI8APA6O6P9;Sydney, Australia
15167;A3FT3ICO6JCZAZ; 
236177;A98H6ELCX45NA;Waltham, MA USA
9037;A2OJH3S0SUNVGE;Eastern Liberal Haven
23035;A23ZP02F085DFQ; 
57405;AK0OTYP8KP6DG; 
1381;AGHIV0V0ON7MO;Shell, Ecuador
85096;AYKELBZM1SH87;Toronto, Ontario Canada
70703;A1K78HOPI6LWMQ;Illinois/Iowa/Arizona, USA
13920;A20MBUOT9S7AEP;Chicago
117439;AGTFT7THB2H67; 
43453;A1GC7GB3J0N0U9;Honolulu, HI USA
29401;A1KQT78NCEACNR;TN United States
64306;AMKV77EFYQ24; 
182608;AIGIOGRIES1IK; 
4746;A2BT578J4IZOK6; 
71824;A2TI67VB6TDWF5;Silver Spring, MD USA
60581;A3T69POTR8R107; 
22687;A2057OCR8NKRKY;BK,NYC
216318;A1QZZO09EQECWW;Issaquah WA United States
41261;AKQFIKZNANJV3;Minot, North Dakota USA
62233;A2Z2MUZ76N5EY7;Cape Cod, Massachusetts, United States
68909;A1SIKR1LWVAV;Atlanta
7171;A38NQGQW63IQJJ;Earth
7996;A2VV0TJNJT9D3O;FL United States
50635;A3F27MY9CR0BE2;Forest Hills, NY United States
66067;A4TBKGZRIXFYB;Nashville, TN USA
58690;AXWEQGFMF317A;PHILADELPHIA, PA USA
9305;A15XY6GGKD3B6D;North Little Rock, AR
30869;A2YJ3KST322XB6;Orange, Virginia USA
8936;A3BXPW5YIR4A52; 
696;AX8SWWB9837TA;Austin, Texas
11156;APOF0G3CUSYKC;Ann Arbor, Michigan United States
36465;A2FISJUY9U02T0;Illinois USA
43116;A39476Z41H9VK3; 
153246;A2A5A5WQHT51G8;Kansas City, Kansas USA
