80473;A1VMCMYWVQ6YBG;Arlington, VA United States
16209;A28XEJO7RBWRVR; 
36793;A2K7GNL43LBE7A;Littleton, CO United States
134632;AK4GZWJCTTQ05;MAUI
159872;AZG5T8FPJNZKX;Nowhere Zen, New Jersey
114688;A1AY7INIG1116P; 
18282;A2PZ0CMAL75SQM;Barrington, IL United States
80795;A28PIYT01I5SOC;North Carolina
63;A14OJS0VWMOSWO;Oregon, WI USA
58968;A1JF8PSY0NPSYY;Indianapolis, IN United States
103162;A28LKF6YEEWLTC; 
13308;A2Y59UIT8C78E;Alexandria VA
52346;A3A06ZU6QI9KIL;Spanish Town, Jamaica
16918;A3B0EQRSEH8IFV; 
11663;A13KXWTN0DT878;Sc, Usa
3756;A2ZP483ANVL28T;bergen county, nj
54665;A1CNIP5C3CLYDK; 
20056;A2ZB0FI6OXRA0S;Dallas, TX
141182;AI13XNCQ61R04;Ballinger, TX United States
322477;A14GUG0O427F5U;USA
81025;A16HFG9SK4EJOT;Knoxville, TN
51260;AND9MKS0TS5BO;NY United States
14032;A18BD98SU49UB7;Film Maker
115314;AEE3ZMRRP0U4G;Virginia
124308;A36V4LL8O34VQX; 
10807;A1XEEDWWWM1KMT; 
12278;A633NIAR4JJAR;Potter, Wi USA
109608;A11JU33HMT5XPU;Milwaukee, WI
40213;A3OHF2LPEF8L0N; 
64583;A37OA596LMTAXK;Westland, MI United States
130260;A1HJ3XWWGLSEUZ;El Salvador
283325;A14ADG0TTI4XBV;West Hollywood, CA United States
175797;AHCUFJHJAD6HP;Indiana
216670;AHK67BWP2JRFB;Los Angeles,, CA. United States
191389;AS48IDHH9ZUIJ;Ravensdale, WA USA
124878;A97SC5LJZEORV;United States
177921;A3S1N6O1HAURLJ;USA
65753;A63QYKW0UBS5B;Edison, NJ United States
144063;A2IWQHVPEMY6UR;Washington, DC
180478;A2HY7WU367WG4N;England
118674;A2DLJCV147TFVM;Marietta, GA
87424;A26GD59JMNOLZM;Reno, Nevada
35811;A1P6NRWDD1NT4B;Gilroy, CA United States
69420;A3FQ2NL742ULUW;Edmonds, WA
10007;A58E8BPCCP4NO;San Diego, CA United States
50826;A3ZUOI8XJCUJH;DeLand, FL United States
43207;A3L82W00V1GTKJ;Pikesville, Maryland United States
21994;A2YAKUOUYQNZR7; 
210879;A2W4F7WFZYVMMY;Midwest USA
123215;A5GKANA84Q1UU;Cheyenne, WY USA
41159;AD0FOYVI4UZVP;Leon, gto. Mexico.
57919;A1Q35LSACN9UKE; 
43007;A3Q1J68QY1MZQ9;Omaha, NE
164173;A2E1UPR4LZJSF2;The Land of Oz
138504;AO126ANZHBCX0;grosse pointe, MI USA
81812;A1TDDM47OJQ3KL;Citrus Capital of the World, CA USA
40410;A3FE8VVZ0EOYUE;Gulf Coast of Texas
12758;A3R8TUW9FOELXL;buena park, ca United States
120566;A3VVX4OW8YARI3;Algona, IA
